symbol,exchange,exchangeSuffix,exchangeName,exchangeSegment,exchangeSegmentName,name,date,type,iexId,region,currency,isEnabled,figi,cik,lei
000020.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Dongwha Pharm,2023-02-08,cs,IEX_4E5A563430322D52,KR,KRW,True,BBG000BDH7Q6,,
000040.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,KR Motors,2023-02-08,cs,IEX_4639444B4D382D52,KR,KRW,True,BBG000BPJWM6,,
000050.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Kyung Bang,2023-02-08,cs,IEX_564D504C31312D52,KR,KRW,True,BBG000BDPSY2,,
000070.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samyang Holdings,2023-02-08,cs,IEX_5759463838312D52,KR,KRW,True,BBG000BCZ9Q4,,
000075.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samyang Holdings - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_435039484B522D52,KR,KRW,True,BBG000BCZ8N9,,
000080.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hitejinro,2023-02-08,cs,IEX_5744465134302D52,KR,KRW,True,BBG000BDN397,,
000087.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hitejinro - PRF PERPETUAL KRW 5000 - 2PB,2023-02-08,ps,IEX_4830315858362D52,KR,KRW,True,BBG00245YNX5,,
000100.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Yuhan,2023-02-08,cs,IEX_424E485856542D52,KR,KRW,True,BBG000BDQR19,0001673975,
000105.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Yuhan - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_484A4A3837342D52,KR,KRW,True,BBG000BJ1QD2,0001673975,
000145.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hitejinro Holdings - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_5851384731522D52,KR,KRW,True,BBG000BJZW15,,988400QOIT2SDDKYHN51
000150.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Doosan Corp,2023-02-08,cs,IEX_4831583156542D52,KR,KRW,True,BBG000BCX1Z3,,988400GNQKLXZRRQQE60
000155.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Doosan Corp - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_4646535A54392D52,KR,KRW,True,BBG000BHCJG7,,988400GNQKLXZRRQQE60
000157.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Doosan Corp - PRF PERPETUAL KRW 5000 - 2nd Preference 0%,2023-02-08,ps,IEX_465A5A4232572D52,KR,KRW,True,BBG000BPQY62,,988400GNQKLXZRRQQE60
000180.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Sungchang Enterprise Holdings Limited,2023-02-08,cs,IEX_5837485639392D52,KR,KRW,True,BBG000BFXSJ5,,
000215.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,DL - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_51564C54374C2D52,KR,KRW,True,BBG000BJZ8H1,,988400LJMYZ3ZOXJVE47
000220.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Yuyu Pharma Inc.,2023-02-08,cs,IEX_52434D5944342D52,KR,KRW,True,BBG000BDQTR7,,
000225.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Yuyu Pharma Inc. - PRF PERPETUAL KRW 1000,2023-02-08,ps,IEX_47594333344D2D52,KR,KRW,True,BBG000BJWCT2,,
000227.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Yuyu Pharma Inc. - PRF PERPETUAL KRW 1000 - 2nd Preference 0%,2023-02-08,ps,IEX_4332344850392D52,KR,KRW,True,BBG000BTS4Z6,,
000230.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Ildong Holdings,2023-02-08,cs,IEX_58474232344A2D52,KR,KRW,True,BBG000BDML70,,
000240.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hankook & Company,2023-02-08,cs,IEX_4634514453312D52,KR,KRW,True,BBG000BCV700,,
000250.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Sam Chun Dang Pharm Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG000CBJVQ4,,
000270.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Kia Corporation,2023-02-08,cs,IEX_484B4E4743352D52,KR,KRW,True,BBG000BCL248,0000882634,988400V8MJK9N7OI5X76
000300.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Dayou Plus,2023-02-08,cs,IEX_4C30515030392D52,KR,KRW,True,BBG000BDTH09,,
000320.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Noroo Holdings,2023-02-08,cs,IEX_4A5959424D482D52,KR,KRW,True,BBG000BGX807,,
000325.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Noroo Holdings - PRF PERPETUAL KRW 500,2023-02-08,ps,IEX_504E3438594A2D52,KR,KRW,True,BBG000BJVBJ6,,
000370.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hanwha General Insurance Co Ltd,2023-02-08,cs,IEX_51445A444D352D52,KR,KRW,True,BBG000BH5067,,9884009N7RORLEXZUF33
000390.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Samhwa Paint Industrial,2023-02-08,cs,IEX_584A4C47444C2D52,KR,KRW,True,BBG000BZFBH0,,
000400.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Lotte Non-Life Insurance Co Ltd,2023-02-08,cs,IEX_5439503159522D52,KR,KRW,True,BBG000BDG5F3,,988400M7HOH6G9TSM941
000430.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Daewon Kangup,2023-02-08,cs,IEX_4C3850325A4B2D52,KR,KRW,True,BBG000BDGGS5,,
000440.KQ,XKOS,KQ,Korea Exchange Kosdaq,XKOS,Korea Exchange Kosdaq,Joong Ang Enervis Co. Ltd.,2023-02-08,cs,,KR,KRW,True,BBG000C18VY9,,
000480.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Chosun Refractories,2023-02-08,cs,IEX_4B334835364E2D52,KR,KRW,True,BBG000BDFTS8,,988400AGLMAP787EAG48
000490.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Daedong Corporation,2023-02-08,cs,IEX_514356374B352D52,KR,KRW,True,BBG000BCRQX7,,988400SRP5AG3NNJU197
000500.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,"Gaon Cable Co., Ltd.",2023-02-08,cs,IEX_4D5958355A312D52,KR,KRW,True,BBG000BDRH56,,549300ODJOPK4IFL1Q15
000540.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Heungkuk Fire & Marine Insurance Co Ltd,2023-02-08,cs,IEX_4D445737304B2D52,KR,KRW,True,BBG000BDT2C9,,98840046SIK1MYL21F03
000545.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Heungkuk Fire & Marine Insurance Co Ltd - PRF PERPETUAL KRW 5000,2023-02-08,ps,IEX_4E54305159532D52,KR,KRW,True,BBG000BNN830,,98840046SIK1MYL21F03
000547.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Heungkuk Fire & Marine Insurance Co Ltd - PRF PERPETUAL KRW 5000 - 2nd Preference 0%,2023-02-08,ps,IEX_4D564D5958312D52,KR,KRW,True,BBG000BTPH17,,98840046SIK1MYL21F03
000640.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,"Dong-A Socio Holdings Co.,Ltd",2023-02-08,cs,IEX_4A424E30475A2D52,KR,KRW,True,BBG000BCRZV9,,
000650.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Chunil Express,2023-02-08,cs,IEX_575A4B4847332D52,KR,KRW,True,BBG000BDFXM5,,
000660.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,SK Hynix Inc,2023-02-08,cs,IEX_535A473853472D52,KR,KRW,True,BBG000GQVTN1,,988400XAIK6XISWQV045
000670.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Youngpoong,2023-02-08,cs,IEX_5747543259522D52,KR,KRW,True,BBG000BDTQ90,,988400AY78NTFS106S56
000680.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,LS Networks Corporation Limited,2023-02-08,cs,IEX_54544B5453362D52,KR,KRW,True,BBG000BH44N1,,
000700.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Eusu Holdings,2023-02-08,cs,IEX_4839513246592D52,KR,KRW,True,BBG000BCV5B2,,
000720.KS,XKRX,KP,Korea Exchange Stock Market,XKRX,Korea Exchange Stock Market,Hyundai Engineering & Construction,2023-02-08,cs,IEX_4D50583356372D52,KR,KRW,True,BBG000BCVCD5,,988400CEQG9N710HN313
